id,price,year,manufacturer,model,odometer,title_status,VIN,type,paint_color,image_url
7316436779,5495,2008,subaru,legacy 2.5i,144478,clean,4JGDF6EE9HA916894,sedan,silver,https://images.craigslist.org/00d0d_4NZ6qTKntjTz_0cU09G_600x450.jpg
7316436638,10995,2012,ford,econoline,173412,clean,55SWF4JB5HU225087,van,white,https://images.craigslist.org/00d0d_bLYq48t1inGz_0nU0hW_600x450.jpg
7316436056,15590,2016,kia,forte koup sx coupe 2d,53066,clean,WDDZF4JB6JA368827,coupe,red,https://images.craigslist.org/01414_3FlFAF3lVpjz_0gw0co_600x450.jpg
7316436040,9999,2008,bmw,3 series,90090,clean,WBAJA5C3XHG896067,coupe,grey,https://images.craigslist.org/00y0y_aB61vMnRWD7z_09G07g_600x450.jpg
7316433668,25590,2017,cadillac,ats luxury sedan 4d,27509,clean,55SWF4JB6HU229858,sedan,blue,https://images.craigslist.org/00w0w_UaRJb1aiVTz_0gw0co_600x450.jpg
7316433314,30990,2018,infiniti,q50 hybrid luxe sedan,8084,clean,WDDZF4JB1JA376270,sedan,blue,https://images.craigslist.org/00N0N_5lO9vz8CBZ4z_0gw0co_600x450.jpg
7316431002,14995,2014,subaru,forester,95000,clean,WBANW5C51ACT56186,SUV,white,https://images.craigslist.org/00X0X_1pRatDl2CjPz_0cU09G_600x450.jpg
7316430933,11995,2004,ford,f350,145411,clean,4JGDA5JBXHA924247,truck,white,https://images.craigslist.org/00I0I_bF6eRssqecaz_0lE0ge_600x450.jpg
7316428173,26995,2014,ram,1500,71000,clean,WBAJE5C30HG916511,pickup,black,https://images.craigslist.org/00M0M_b8ekSBwaCPvz_0cU09G_600x450.jpg
7316427634,27995,2018,ram,1500,70000,clean,WDDSJ4EB1JN617392,pickup,black,https://images.craigslist.org/00Z0Z_iFI87PbgygDz_0cU09G_600x450.jpg
7316427483,9995,2010,ford,f150,175303,clean,4JGDA5JB7JB011199,pickup,white,https://images.craigslist.org/01616_8rmEWd6wRTCz_0xk0p0_600x450.jpg
7316422451,20990,2019,subaru,legacy 2.5i premium sedan,18975,clean,WBAJB9C56JB034747,sedan,blue,https://images.craigslist.org/00l0l_lRuuGvYz1R9z_0gw0co_600x450.jpg
7316418799,28995,2017,nissan,nv,50811,clean,WBA8E1C52JA159614,van,white,https://images.craigslist.org/00i0i_c7Ml3H18kC3z_0uq0mP_600x450.jpg
7316417857,9995,2004,ford,f250,153976,clean,55SWF4JB2HU225435,pickup,white,https://images.craigslist.org/00t0t_ZeqqcDFEdHz_0lJ0gi_600x450.jpg
7316412373,16995,2017,nissan,frontier,75852,clean,55SWF4JB9JU237068,pickup,white,https://images.craigslist.org/00K0K_QbdX6Aj6P6z_0oc0i9_600x450.jpg
7316411047,26995,2019,ford,transit,30703,clean,55SWF4JB5JU234913,van,white,https://images.craigslist.org/01212_hlX20TRqNDz_0ng0hs_600x450.jpg
7316397261,7995,2000,chevrolet,astro,67482,clean,WBA3N7C52FK224802,van,white,https://images.craigslist.org/01515_6lmDMWKtYp2z_0jn0ey_600x450.jpg
7316386416,15990,2016,ford,fusion s sedan 4d,30491,clean,WBA7E2C57HG740471,sedan,silver,https://images.craigslist.org/00G0G_fI0FPHCCubfz_0gw0co_600x450.jpg
7316381261,16995,2014,ford,f150,113874,clean,WBAJB9C51JB034655,truck,white,https://images.craigslist.org/00000_isyOBKgEEORz_0oi0ie_600x450.jpg
7316377173,10995,2002,chevrolet,express g3500,53058,clean,55SWF4JBXJU270225,van,white,https://images.craigslist.org/00A0A_9Ro8p9YZ0tFz_0xK0pi_600x450.jpg
7316377051,13995,2010,ram,2500,158615,clean,WBA5B1C5XGG552102,pickup,white,https://images.craigslist.org/00j0j_7G5YcQQSS2wz_0o50i3_600x450.jpg
7316376693,6995,2004,ford,ranger,167176,clean,55SWF4JB4JU256031,truck,white,https://images.craigslist.org/00S0S_7HBoWMKpih3z_09G07f_600x450.jpg
7316374952,37990,2018,bmw,x5 xdrive40e iperformance,32856,clean,WBAJA5C39HWA34967,other,black,https://images.craigslist.org/00c0c_fx97ZNwUuGfz_0gw0co_600x450.jpg
7316376440,18995,2012,ford,f250,141780,clean,WBAJB9C53JB035967,truck,white,https://images.craigslist.org/00x0x_gh3ujLvMKksz_0ml0gK_600x450.jpg
7316376313,9499,2012,nissan,maxima,116610,clean,5UXWZ7C33H0V93426,sedan,white,https://images.craigslist.org/00q0q_guEft3h5eh2z_0ak07K_600x450.jpg
7316375846,16995,2015,chevrolet,colorado,137501,clean,WDDWF8DB7KR462949,pickup,white,https://images.craigslist.org/00m0m_fknCuOUb0EQz_09G07g_600x450.jpg
7316374688,24995,2015,chevrolet,silverado 2500hd,163827,clean,55SWF4JB7JU253706,pickup,white,https://images.craigslist.org/00U0U_c7R8ZiTotMjz_09G07g_600x450.jpg
7316375345,15995,2009,ram,2500,104837,clean,WDDZF4JB5HA127805,pickup,white,https://images.craigslist.org/01414_3Vxegv99xPrz_09G07g_600x450.jpg
7316374860,16995,2015,ford,transit,80384,clean,WDDZF4JB0HA109695,van,silver,https://images.craigslist.org/00Z0Z_1hDtbwtjsASz_0pm0j1_600x450.jpg
7316374018,17995,2016,ford,transit,81037,clean,55SWF4JBXHU231953,van,silver,https://images.craigslist.org/01313_adoqERlBPESz_0mT0ha_600x450.jpg
7316373295,12995,2004,ford,econoline,83421,clean,WDCTG4EBXJJ435981,van,white,https://images.craigslist.org/00H0H_4H7BOxpMRZez_0qN0k6_600x450.jpg
7316372624,6999,2002,cadillac,escalade,185974,clean,55SWF4JB8JU240270,SUV,white,https://images.craigslist.org/00R0R_5pZNqp1PXTNz_09G07g_600x450.jpg
7316356893,18990,2018,nissan,kicks sv sport utility 4d,25741,clean,WBAJA5C34HG895657,hatchback,blue,https://images.craigslist.org/00p0p_3QpdXPpiqTvz_0gw0co_600x450.jpg
7316356692,27590,2018,acura,tlx 3.5 w/technology pkg,25988,clean,WBXHU7C35H5H33400,sedan,white,https://images.craigslist.org/00k0k_iUFS4xsMJusz_0gw0co_600x450.jpg
7316356458,26990,2018,mercedes-benz,c-class c 300,30653,clean,5UXTR9C5XJLD71733,sedan,black,https://images.craigslist.org/00S0S_5cpdJGwlTs3z_0gw0co_600x450.jpg
7316355971,19899,2008,ford,f-250,113866,clean,WDDUG8CB4HA315257,pickup,white,https://images.craigslist.org/00a0a_i6jxDALY0P5z_0ak07K_600x450.jpg
7316351590,13995,2014,mercedes-benz,c-class,90100,clean,WDCTG4EB6HJ342093,sedan,black,https://images.craigslist.org/00z0z_5tn3H3l92wTz_0cU09C_600x450.jpg
7316345646,13995,2013,mini,hardtop,46150,clean,55SWF4JB3HU185446,hatchback,red,https://images.craigslist.org/01414_75RzomeDPEiz_0cU09G_600x450.jpg
7316341071,16500,2016,nissan,murano,84050,clean,55SWF4JB8JU265900,SUV,white,https://images.craigslist.org/00k0k_42XxTIy72t8z_0cS09G_600x450.jpg
7316306804,11990,2012,jeep,liberty,784320,clean,55SWF4JB8HU207523,SUV,grey,https://images.craigslist.org/00i0i_haceNGbuWO6z_09G07g_600x450.jpg
7316304630,7490,2008,mercedes-benz,c-class,146425,clean,55SWF4JB0JU240845,sedan,silver,https://images.craigslist.org/00u0u_cAGYJIMWaB7z_09G07g_600x450.jpg
7316299758,18999,2011,chevrolet,tahoe,104681,clean,5UXWZ7C51H0V85732,SUV,silver,https://images.craigslist.org/00e0e_hlKUleOqYVsz_09G07g_600x450.jpg
7316291435,11995,2012,chevrolet,traverse lt,107156,clean,WBAJE5C3XHG914894,SUV,white,https://images.craigslist.org/00x0x_8cXH4ZbC1xYz_0aQ09G_600x450.jpg
7316285912,8995,2013,kia,soul +,105873,clean,WBA6B2C50FGB99462,wagon,silver,https://images.craigslist.org/00Z0Z_17hrIiBHcyLz_09N09G_600x450.jpg
7316284528,26995,2019,volkswagen,jetta gli autobahn,9290,clean,WBAJA5C50KWA58213,sedan,white,https://images.craigslist.org/00h0h_9OGA7aP15Olz_0bG09G_600x450.jpg
7316284344,20995,2015,lexus,is 250,61030,clean,WBA8E5G30HNU42743,sedan,red,https://images.craigslist.org/01313_jeRIQuSUfOAz_0aw09G_600x450.jpg
7316284470,15995,2013,dodge,durango sxt,96371,clean,WBA3A9C59DF476091,SUV,silver,https://images.craigslist.org/00k0k_fvNAvEG7U65z_0av09G_600x450.jpg
7316282822,12995,2015,ford,escape s,70064,clean,WBAJA5C3XHG893881,SUV,blue,https://images.craigslist.org/00Z0Z_8oGxvlVTeV1z_0aG09G_600x450.jpg
7316277347,13995,2012,bmw,335i,114420,clean,WDDWJ4JB4HF505505,sedan,white,https://images.craigslist.org/00j0j_eIdJFo10ogJz_0aC09G_600x450.jpg
7316269181,22995,2016,ford,transit cargo 150,60299,clean,55SWF4JB0HU205815,van,white,https://images.craigslist.org/00v0v_bSJKMsVbvADz_0av09G_600x450.jpg
7316267679,13995,2015,jeep,cherokee sport,76337,clean,55SWF4JB7JU240499,SUV,black,https://images.craigslist.org/00808_693V8XBVLEUz_0at09G_600x450.jpg
7316237940,10999,2015,kia,soul,69691,clean,WBA3N7C56GK226120,wagon,red,https://images.craigslist.org/00707_9cjLK1l0Fobz_09G07g_600x450.jpg
7316237252,19990,2018,chevrolet,equinox lt sport,21630,clean,WBAJA5C39HG896884,other,white,https://images.craigslist.org/00G0G_4UZH46s2vplz_0gw0co_600x450.jpg
7316237126,32590,2020,cadillac,xt4 premium luxury,17951,clean,WDCTG4EBXJJ456295,hatchback,black,https://images.craigslist.org/00404_f51kaZLMdV8z_0gw0co_600x450.jpg
7316237101,33990,2020,nissan,370z coupe 2d,1000,clean,WBAJA5C30HG895266,coupe,white,https://images.craigslist.org/00P0P_aQjrADLDvZsz_0gw0co_600x450.jpg
7316229482,17590,2013,acura,tl special edition sedan,67448,clean,WBAJA5C33HG897383,sedan,silver,https://images.craigslist.org/00V0V_freDIhvxAq5z_0gw0co_600x450.jpg
7316229422,38590,2019,cadillac,cts 2.0 luxury sedan 4d,1714,clean,55SWF4JB9JU256221,sedan,black,https://images.craigslist.org/00G0G_eMbZ2gc6eiPz_0gw0co_600x450.jpg
7316229376,28990,2018,bmw,x2 sdrive28i sport utility,10533,clean,WBAJA5C38HG896634,other,black,https://images.craigslist.org/00h0h_bCVbXoCeBd1z_0gw0co_600x450.jpg
7316229322,19990,2017,hyundai,sonata plug-in hybrid,29254,clean,WBAJA5C38HG897332,sedan,white,https://images.craigslist.org/00909_dV1q6gmPAi7z_0gw0co_600x450.jpg
7316229284,18990,2018,buick,encore preferred ii sport,17702,clean,WBA8B9C36HK885079,other,white,https://images.craigslist.org/01212_3okTHaukr9Sz_0gw0co_600x450.jpg
7316199005,42999,2018,chevrolet,silverado 1500 lt automatic,13369,clean,55SWF4JB9JU253982,pickup,black,https://images.craigslist.org/00E0E_kZ1k2yxTXCMz_0ak07K_600x450.jpg
